id,name,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,5,45.02,54.03,0.95,17.4,82.6,0.0,R
AZ,Arizona,2,53.82,44.18,2.0,82.6,17.4,0.0,D
AK,Alaska,5,46.09,51.99,1.92,26.1,73.9,0.0,R
AR,Arkansas,6,0.0,99.04,0.96,0.0,100.0,0.0,R
CO,Colorado,1,54.16,43.81,2.03,83.8,16.2,0.0,D
DE,Delaware,1,65.28,32.78,1.95,100.0,0.0,0.0,D
GA,Georgia,4,48.8,49.17,2.03,44.6,55.4,0.0,R
GA_2,Georgia Special,5,46.66,52.37,0.97,27.1,72.9,0.0,R
IA,Iowa,4,47.76,48.2,4.04,46.4,53.6,0.0,R
ID,Idaho,6,37.63,58.47,3.9,1.5,98.5,0.0,R
IL,Illinois,1,53.8,41.28,4.92,88.2,11.8,0.0,D
KS,Kansas,5,45.69,52.33,1.98,23.1,76.9,0.0,R
KY,Kentucky,6,41.69,53.42,4.88,11.2,88.8,0.0,R
LA,Louisiana,6,37.49,60.48,2.03,0.3,99.7,0.0,R
MA,Massachusetts,1,62.38,36.61,1.01,99.6,0.4,0.0,D
ME,Maine,3,51.87,47.16,0.97,67.1,32.9,0.0,D
MI,Michigan,2,53.25,45.74,1.0,75.1,24.9,0.0,D
MN,Minnesota,2,52.15,46.78,1.06,70.0,30.0,0.0,D
MS,Mississippi,5,44.05,54.04,1.91,12.8,87.2,0.0,R
MT,Montana,4,47.82,51.2,0.98,34.5,65.5,0.0,R
NC,North Carolina,2,51.54,46.44,2.02,68.1,31.9,0.0,D
NE,Nebraska,6,39.71,58.31,1.99,3.0,97.0,0.0,R
NH,New Hampshire,1,58.4,39.63,1.97,97.3,2.7,0.0,D
NJ,New Jersey,1,60.33,34.75,4.93,99.5,0.5,0.0,D
NM,New Mexico,1,55.23,43.79,0.97,86.9,13.1,0.0,D
OK,Oklahoma,6,37.09,60.9,2.01,0.6,99.4,0.0,R
OR,Oregon,1,57.09,40.88,2.02,95.6,4.4,0.0,D
RI,Rhode Island,1,70.47,28.5,1.03,100.0,0.0,0.0,D
SC,South Carolina,5,46.79,52.23,0.98,25.5,74.5,0.0,R
SD,South Dakota,6,39.63,59.36,1.01,1.7,98.3,0.0,R
TN,Tennessee,6,34.83,64.17,1.0,0.1,99.9,0.0,R
TX,Texas,5,46.13,52.9,0.97,22.6,77.4,0.0,R
VA,Virginia,1,56.16,42.89,0.96,90.8,9.2,0.0,D
WV,West Virginia,6,34.73,64.3,0.97,0.0,100.0,0.0,R
WY,Wyoming,6,28.99,70.03,0.98,0.0,100.0,0.0,R
