id,name,ec,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,9,6,39.44,57.56,3.0,2.6,97.4,0.0,R
AZ,Arizona,11,4,47.38,49.71,2.91,38.2,61.8,0.0,R
AK,Alaska,3,5,45.07,51.87,3.05,22.9,77.1,0.0,R
AR,Arkansas,6,6,41.35,55.55,3.09,6.3,93.7,0.0,R
CA,California,55,1,60.08,37.08,2.84,99.0,1.0,0.0,R
CO,Colorado,9,1,54.48,42.5,3.01,88.5,11.5,0.0,R
DE,Delaware,3,1,59.16,37.77,3.07,99.0,1.0,0.0,R
CT,Connecticut,7,1,60.64,36.2,3.15,99.5,0.5,0.0,R
DC,District of Columbia,3,1,82.68,14.59,2.73,100.0,0.0,0.0,R
FL,Florida,29,4,46.46,50.6,2.94,32.1,67.9,0.0,R
GA,Georgia,16,5,45.68,51.44,2.88,25.4,74.6,0.0,R
IA,Iowa,6,5,45.89,51.02,3.09,27.7,72.3,0.0,R
ID,Idaho,4,6,32.24,64.53,3.23,0.0,100.0,0.0,R
HI,Hawaii,4,1,63.6,33.02,3.37,100.0,0.0,0.0,R
IL,Illinois,20,1,64.42,32.37,3.21,100.0,0.0,0.0,R
IN,Indiana,11,6,41.3,55.53,3.17,6.7,93.3,0.0,R
KS,Kansas,6,6,43.05,53.75,3.2,13.3,86.7,0.0,R
KY,Kentucky,8,6,39.56,57.38,3.07,2.7,97.3,0.0,R
LA,Louisiana,8,6,39.33,57.6,3.07,3.3,96.7,0.0,R
MA,Massachusetts,11,1,65.95,30.77,3.28,100.0,0.0,0.0,R
MD,Maryland,10,1,60.58,36.23,3.18,99.4,0.6,0.0,R
ME,Maine,2,1,54.05,42.78,3.17,87.0,13.0,0.0,R
ME_1,Maine 1st,1,2,53.53,43.57,2.9,81.6,18.4,0.0,R
ME_2,Maine 2nd,1,3,48.66,48.3,3.04,49.9,50.1,0.0,R
MI,Michigan,16,4,47.84,49.13,3.03,44.3,55.7,0.0,R
MN,Minnesota,10,2,51.15,45.73,3.12,69.2,30.8,0.0,R
MO,Missouri,10,6,41.98,54.7,3.32,7.8,92.2,0.0,R
MS,Mississippi,6,6,40.67,56.23,3.1,4.2,95.8,0.0,R
MT,Montana,3,6,42.01,54.76,3.23,8.3,91.7,0.0,R
NC,North Carolina,15,4,46.99,49.98,3.03,35.7,64.3,0.0,R
ND,North Dakota,3,6,39.27,57.63,3.1,1.6,98.4,0.0,R
NE,Nebraska,2,6,32.94,63.76,3.3,0.0,100.0,0.0,R
NE_1,Nebraska 1st,1,6,33.19,63.44,3.37,0.0,100.0,0.0,R
NE_2,Nebraska 2nd,1,4,47.48,49.39,3.13,39.7,60.3,0.0,R
NE_3,Nebraska 3rd,1,6,32.92,63.84,3.24,0.0,100.0,0.0,R
NH,New Hampshire,4,3,49.48,47.47,3.05,55.8,44.2,0.0,R
NJ,New Jersey,14,1,59.76,36.96,3.27,99.0,1.0,0.0,R
NM,New Mexico,5,1,55.87,40.94,3.19,93.7,6.3,0.0,R
NV,Nevada,6,4,46.72,50.19,3.08,34.8,65.2,0.0,R
NY,New York,29,1,62.95,34.0,3.05,99.9,0.1,0.0,R
OH,Ohio,18,5,43.74,53.38,2.88,15.5,84.5,0.0,R
OK,Oklahoma,7,6,36.68,60.16,3.15,0.5,99.5,0.0,R
OR,Oregon,7,1,59.77,37.02,3.21,98.9,1.1,0.0,R
PA,Pennsylvania,20,5,43.69,53.42,2.89,14.6,85.4,0.0,R
RI,Rhode Island,4,1,59.73,36.94,3.34,99.2,0.8,0.0,R
SC,South Carolina,9,5,44.02,52.78,3.2,16.9,83.1,0.0,R
SD,South Dakota,3,6,30.21,66.49,3.3,0.0,100.0,0.0,R
TN,Tennessee,11,6,40.98,55.8,3.23,5.0,95.0,0.0,R
TX,Texas,38,5,43.65,53.1,3.25,14.9,85.1,0.0,R
UT,Utah,6,6,40.29,56.49,3.22,5.2,94.8,0.0,R
VA,Virginia,13,1,54.65,42.17,3.18,89.7,10.3,0.0,R
VT,Vermont,3,1,59.69,37.11,3.2,99.2,0.8,0.0,R
WA,Washington,12,1,63.3,33.55,3.15,99.8,0.2,0.0,R
WI,Wisconsin,10,2,51.45,45.43,3.13,71.2,28.8,0.0,R
WV,West Virginia,5,6,30.94,66.07,2.99,0.1,99.9,0.0,R
WY,Wyoming,3,6,32.8,63.88,3.32,0.2,99.8,0.0,R
