id,name,ec,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,9,6,39.33,57.63,3.05,3.1,96.9,0.0,R
AZ,Arizona,11,4,47.85,49.21,2.94,42.1,57.9,0.0,R
AK,Alaska,3,5,45.25,51.71,3.04,26.3,73.7,0.0,R
AR,Arkansas,6,6,41.43,55.5,3.07,7.6,92.4,0.0,R
CA,California,55,1,60.39,36.66,2.95,99.1,0.9,0.0,R
CO,Colorado,9,1,54.7,42.3,3.0,88.5,11.5,0.0,R
DE,Delaware,3,1,59.2,37.71,3.09,99.1,0.9,0.0,R
CT,Connecticut,7,1,60.84,35.9,3.26,99.6,0.4,0.0,R
DC,District of Columbia,3,1,82.68,14.43,2.89,100.0,0.0,0.0,R
FL,Florida,29,4,47.93,49.14,2.93,43.1,56.9,0.0,R
GA,Georgia,16,5,44.81,52.16,3.02,18.5,81.5,0.0,R
IA,Iowa,6,4,46.08,50.86,3.06,29.5,70.5,0.0,R
ID,Idaho,4,6,32.21,64.61,3.18,0.0,100.0,0.0,R
HI,Hawaii,4,1,63.87,32.73,3.4,99.8,0.2,0.0,R
IL,Illinois,20,1,64.68,32.06,3.26,99.9,0.1,0.0,R
IN,Indiana,11,6,41.05,55.77,3.17,5.8,94.2,0.0,R
KS,Kansas,6,6,42.85,53.93,3.22,11.5,88.5,0.0,R
KY,Kentucky,8,6,39.67,57.13,3.2,3.2,96.8,0.0,R
LA,Louisiana,8,6,39.42,57.35,3.22,2.5,97.5,0.0,R
MA,Massachusetts,11,1,66.17,30.67,3.15,100.0,0.0,0.0,R
MD,Maryland,10,1,61.21,35.66,3.13,99.7,0.3,0.0,R
ME,Maine,2,1,54.18,42.69,3.13,85.3,14.7,0.0,R
ME_1,Maine 1st,1,2,53.41,43.73,2.86,80.7,19.3,0.0,R
ME_2,Maine 2nd,1,3,48.65,48.3,3.05,49.7,50.3,0.0,R
MI,Michigan,16,4,47.73,49.19,3.08,40.4,59.6,0.0,R
MN,Minnesota,10,2,51.28,45.56,3.16,70.1,29.9,0.0,R
MO,Missouri,10,6,42.47,54.22,3.31,9.5,90.5,0.0,R
MS,Mississippi,6,6,40.45,56.32,3.23,4.1,95.9,0.0,R
MT,Montana,3,6,42.11,54.74,3.15,9.4,90.6,0.0,R
NC,North Carolina,15,4,47.2,49.84,2.96,37.9,62.1,0.0,R
ND,North Dakota,3,6,39.65,57.27,3.08,3.0,97.0,0.0,R
NE,Nebraska,2,6,32.91,63.68,3.41,0.1,99.9,0.0,R
NE_1,Nebraska 1st,1,6,33.02,63.6,3.38,0.0,100.0,0.0,R
NE_2,Nebraska 2nd,1,4,47.4,49.42,3.18,41.4,58.6,0.0,R
NE_3,Nebraska 3rd,1,6,33.0,63.63,3.37,0.0,100.0,0.0,R
NH,New Hampshire,4,3,49.61,47.25,3.13,58.2,41.8,0.0,R
NJ,New Jersey,14,1,59.98,36.75,3.27,98.8,1.2,0.0,R
NM,New Mexico,5,1,55.66,41.03,3.31,92.7,7.3,0.0,R
NV,Nevada,6,4,47.02,49.95,3.03,36.3,63.7,0.0,R
NY,New York,29,1,63.06,33.84,3.1,99.8,0.2,0.0,R
OH,Ohio,18,4,46.39,50.6,3.01,31.4,68.6,0.0,R
OK,Oklahoma,7,6,36.38,60.46,3.15,0.5,99.5,0.0,R
OR,Oregon,7,1,59.78,36.86,3.36,99.1,0.9,0.0,R
PA,Pennsylvania,20,4,47.51,49.59,2.89,40.4,59.6,0.0,R
RI,Rhode Island,4,1,59.88,36.94,3.18,99.1,0.9,0.0,R
SC,South Carolina,9,5,44.07,52.69,3.24,16.6,83.4,0.0,R
SD,South Dakota,3,6,30.1,66.66,3.24,0.0,100.0,0.0,R
TN,Tennessee,11,6,40.81,56.1,3.09,4.7,95.3,0.0,R
TX,Texas,38,5,43.9,52.84,3.26,17.2,82.8,0.0,R
UT,Utah,6,6,40.04,56.66,3.3,4.0,96.0,0.0,R
VA,Virginia,13,1,54.89,41.92,3.19,89.6,10.4,0.0,R
VT,Vermont,3,1,60.04,36.69,3.27,99.0,1.0,0.0,R
WA,Washington,12,1,62.94,33.87,3.19,99.7,0.3,0.0,R
WI,Wisconsin,10,4,48.49,48.5,3.01,48.2,51.8,0.0,R
WV,West Virginia,5,6,31.16,65.92,2.92,0.0,100.0,0.0,R
WY,Wyoming,3,6,33.02,63.74,3.24,0.2,99.8,0.0,R
