id,name,ec,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,9,6,39.48,57.54,2.98,2.5,97.5,0.0,R
AZ,Arizona,11,4,47.73,49.41,2.86,42.1,57.9,0.0,R
AK,Alaska,3,5,45.13,51.69,3.18,22.6,77.4,0.0,R
AR,Arkansas,6,6,41.53,55.44,3.03,7.1,92.9,0.0,R
CA,California,55,1,65.2,31.7,3.1,99.9,0.1,0.0,R
CO,Colorado,9,1,55.66,41.3,3.04,92.6,7.4,0.0,R
DE,Delaware,3,1,59.24,37.67,3.09,98.8,1.2,0.0,R
CT,Connecticut,7,1,60.69,36.13,3.18,99.2,0.8,0.0,R
DC,District of Columbia,3,1,82.62,14.51,2.87,100.0,0.0,0.0,R
FL,Florida,29,4,48.51,48.66,2.83,47.3,52.7,0.0,R
GA,Georgia,16,5,44.57,52.53,2.89,20.6,79.4,0.0,R
IA,Iowa,6,4,47.33,49.5,3.17,37.8,62.2,0.0,R
ID,Idaho,4,6,32.74,64.12,3.14,0.0,100.0,0.0,R
HI,Hawaii,4,1,63.81,32.77,3.41,100.0,0.0,0.0,R
IL,Illinois,20,1,64.41,32.46,3.13,99.9,0.1,0.0,R
IN,Indiana,11,6,41.19,55.72,3.09,6.5,93.5,0.0,R
KS,Kansas,6,5,43.92,52.8,3.27,17.0,83.0,0.0,R
KY,Kentucky,8,6,39.92,56.98,3.1,3.3,96.7,0.0,R
LA,Louisiana,8,6,39.46,57.4,3.14,2.4,97.6,0.0,R
MA,Massachusetts,11,1,65.97,30.87,3.16,100.0,0.0,0.0,R
MD,Maryland,10,1,60.73,36.11,3.15,99.5,0.5,0.0,R
ME,Maine,2,1,54.18,42.65,3.17,85.1,14.9,0.0,R
ME_1,Maine 1st,1,2,53.49,43.6,2.92,83.0,17.0,0.0,R
ME_2,Maine 2nd,1,3,48.85,48.05,3.1,53.5,46.5,0.0,R
MI,Michigan,16,4,47.76,49.12,3.12,43.4,56.6,0.0,R
MN,Minnesota,10,3,49.68,47.26,3.06,58.4,41.6,0.0,R
MO,Missouri,10,5,43.79,53.06,3.16,14.8,85.2,0.0,R
MS,Mississippi,6,6,40.34,56.53,3.13,3.5,96.5,0.0,R
MT,Montana,3,6,42.24,54.66,3.1,9.3,90.7,0.0,R
NC,North Carolina,15,4,47.0,49.84,3.16,34.6,65.4,0.0,R
ND,North Dakota,3,6,39.85,57.09,3.06,3.3,96.7,0.0,R
NE,Nebraska,2,6,32.9,63.86,3.24,0.2,99.8,0.0,R
NE_1,Nebraska 1st,1,6,33.15,63.65,3.19,0.1,99.9,0.0,R
NE_2,Nebraska 2nd,1,4,47.4,49.48,3.12,39.4,60.6,0.0,R
NE_3,Nebraska 3rd,1,6,32.77,63.97,3.26,0.2,99.8,0.0,R
NH,New Hampshire,4,3,49.17,47.78,3.05,55.1,44.9,0.0,R
NJ,New Jersey,14,1,59.87,36.81,3.32,99.0,1.0,0.0,R
NM,New Mexico,5,1,55.58,41.32,3.1,92.2,7.8,0.0,R
NV,Nevada,6,3,50.67,46.03,3.3,67.6,32.4,0.0,R
NY,New York,29,1,62.89,34.05,3.06,99.8,0.2,0.0,R
OH,Ohio,18,4,46.55,50.46,2.99,33.2,66.8,0.0,R
OK,Oklahoma,7,6,36.63,60.39,2.98,0.5,99.5,0.0,R
OR,Oregon,7,1,59.83,36.91,3.27,99.3,0.7,0.0,R
PA,Pennsylvania,20,4,47.2,49.8,3.0,37.8,62.2,0.0,R
RI,Rhode Island,4,1,59.98,36.79,3.23,99.3,0.7,0.0,R
SC,South Carolina,9,5,44.45,52.31,3.24,19.6,80.4,0.0,R
SD,South Dakota,3,6,29.97,66.57,3.46,0.0,100.0,0.0,R
TN,Tennessee,11,6,40.9,55.86,3.24,6.4,93.6,0.0,R
TX,Texas,38,5,43.95,52.72,3.33,17.3,82.7,0.0,R
UT,Utah,6,6,40.31,56.44,3.25,4.2,95.8,0.0,R
VA,Virginia,13,1,54.91,41.92,3.17,91.1,8.9,0.0,R
VT,Vermont,3,1,59.64,37.13,3.23,99.1,0.9,0.0,R
WA,Washington,12,1,62.85,34.13,3.02,99.7,0.3,0.0,R
WI,Wisconsin,10,4,48.31,48.66,3.03,45.8,54.2,0.0,R
WV,West Virginia,5,6,31.18,65.89,2.93,0.0,100.0,0.0,R
WY,Wyoming,3,6,33.03,63.66,3.3,0.0,100.0,0.0,R
