id,name,ec,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,9,6,39.5,57.47,3.03,3.1,96.9,0.0,R
AZ,Arizona,11,4,47.67,49.34,2.99,41.4,58.6,0.0,R
AK,Alaska,3,5,45.2,51.65,3.15,23.5,76.5,0.0,R
AR,Arkansas,6,6,41.36,55.65,3.0,6.5,93.5,0.0,R
CA,California,55,1,59.83,37.17,2.99,99.1,0.9,0.0,R
CO,Colorado,9,1,54.28,42.6,3.12,86.8,13.2,0.0,R
DE,Delaware,3,1,59.2,37.71,3.09,98.4,1.6,0.0,R
CT,Connecticut,7,1,60.85,36.02,3.13,99.3,0.7,0.0,R
DC,District of Columbia,3,1,82.62,14.44,2.94,100.0,0.0,0.0,R
FL,Florida,29,4,48.08,49.02,2.9,44.7,55.3,0.0,R
GA,Georgia,16,5,44.62,52.47,2.91,19.8,80.2,0.0,R
IA,Iowa,6,4,46.12,50.74,3.14,29.7,70.3,0.0,R
ID,Idaho,4,6,32.32,64.41,3.27,0.0,100.0,0.0,R
HI,Hawaii,4,1,63.39,33.13,3.48,100.0,0.0,0.0,R
IL,Illinois,20,1,64.61,32.25,3.13,99.9,0.1,0.0,R
IN,Indiana,11,6,41.38,55.39,3.24,8.4,91.6,0.0,R
KS,Kansas,6,6,42.8,53.98,3.21,12.9,87.1,0.0,R
KY,Kentucky,8,6,39.65,57.24,3.11,3.1,96.9,0.0,R
LA,Louisiana,8,6,39.78,57.06,3.16,3.1,96.9,0.0,R
MA,Massachusetts,11,1,65.94,30.92,3.15,100.0,0.0,0.0,R
MD,Maryland,10,1,60.62,36.27,3.11,99.3,0.7,0.0,R
ME,Maine,2,1,54.35,42.41,3.24,88.6,11.4,0.0,R
ME_1,Maine 1st,1,1,53.69,43.28,3.03,85.0,15.0,0.0,R
ME_2,Maine 2nd,1,3,48.65,48.31,3.04,49.4,50.6,0.0,R
MI,Michigan,16,4,48.0,48.87,3.12,44.5,55.5,0.0,R
MN,Minnesota,10,2,51.13,45.83,3.04,68.0,32.0,0.0,R
MO,Missouri,10,6,42.28,54.39,3.33,10.2,89.8,0.0,R
MS,Mississippi,6,6,40.57,56.27,3.16,4.2,95.8,0.0,R
MT,Montana,3,6,41.93,54.88,3.19,8.2,91.8,0.0,R
NC,North Carolina,15,4,46.81,50.22,2.97,34.9,65.1,0.0,R
ND,North Dakota,3,6,39.66,57.29,3.05,3.1,96.9,0.0,R
NE,Nebraska,2,6,32.97,63.73,3.3,0.0,100.0,0.0,R
NE_1,Nebraska 1st,1,6,32.98,63.76,3.26,0.0,100.0,0.0,R
NE_2,Nebraska 2nd,1,4,47.28,49.64,3.08,37.7,62.3,0.0,R
NE_3,Nebraska 3rd,1,6,32.85,63.84,3.31,0.0,100.0,0.0,R
NH,New Hampshire,4,3,49.37,47.5,3.13,56.5,43.5,0.0,R
NJ,New Jersey,14,1,59.57,37.21,3.22,99.0,1.0,0.0,R
NM,New Mexico,5,1,55.6,41.13,3.27,92.3,7.7,0.0,R
NV,Nevada,6,4,46.92,50.0,3.08,34.5,65.5,0.0,R
NY,New York,29,1,63.21,33.7,3.09,99.6,0.4,0.0,R
OH,Ohio,18,4,46.36,50.61,3.02,30.9,69.1,0.0,R
OK,Oklahoma,7,6,36.19,60.67,3.13,0.4,99.6,0.0,R
OR,Oregon,7,1,60.16,36.61,3.23,99.7,0.3,0.0,R
PA,Pennsylvania,20,4,47.56,49.37,3.07,42.1,57.9,0.0,R
RI,Rhode Island,4,1,59.79,36.96,3.25,98.7,1.3,0.0,R
SC,South Carolina,9,5,44.0,52.77,3.23,15.9,84.1,0.0,R
SD,South Dakota,3,6,29.9,66.66,3.44,0.0,100.0,0.0,R
TN,Tennessee,11,6,40.84,55.91,3.25,5.3,94.7,0.0,R
TX,Texas,38,5,43.71,53.05,3.24,15.1,84.9,0.0,R
UT,Utah,6,6,40.23,56.49,3.28,5.3,94.7,0.0,R
VA,Virginia,13,1,54.9,42.03,3.08,90.0,10.0,0.0,R
VT,Vermont,3,1,59.99,36.79,3.22,98.7,1.3,0.0,R
WA,Washington,12,1,63.05,33.73,3.22,100.0,0.0,0.0,R
WI,Wisconsin,10,4,48.23,48.73,3.03,46.3,53.7,0.0,R
WV,West Virginia,5,6,30.96,66.0,3.04,0.0,100.0,0.0,R
WY,Wyoming,3,6,32.83,63.82,3.35,0.1,99.9,0.0,R
