id,name,ec,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,9,6,39.35,57.71,2.94,2.1,97.9,0.0,R
AZ,Arizona,11,4,47.62,49.44,2.94,40.4,59.6,0.0,R
AK,Alaska,3,5,44.99,51.93,3.08,23.4,76.6,0.0,R
AR,Arkansas,6,6,41.65,55.32,3.03,6.9,93.1,0.0,R
CA,California,55,1,65.35,31.56,3.09,100.0,0.0,0.0,R
CO,Colorado,9,1,55.57,41.38,3.06,90.7,9.3,0.0,R
DE,Delaware,3,1,59.08,37.82,3.1,98.1,1.9,0.0,R
CT,Connecticut,7,1,60.75,36.0,3.25,99.5,0.5,0.0,R
DC,District of Columbia,3,1,82.7,14.48,2.82,100.0,0.0,0.0,R
FL,Florida,29,4,48.17,48.99,2.85,44.8,55.2,0.0,R
GA,Georgia,16,5,44.58,52.54,2.88,20.4,79.6,0.0,R
IA,Iowa,6,4,47.35,49.4,3.25,39.6,60.4,0.0,R
ID,Idaho,4,6,32.29,64.58,3.13,0.0,100.0,0.0,R
HI,Hawaii,4,1,63.63,32.86,3.52,99.9,0.1,0.0,R
IL,Illinois,20,1,64.44,32.33,3.23,99.9,0.1,0.0,R
IN,Indiana,11,6,40.93,55.91,3.16,5.7,94.3,0.0,R
KS,Kansas,6,5,44.13,52.7,3.16,17.8,82.2,0.0,R
KY,Kentucky,8,6,39.56,57.31,3.13,2.8,97.2,0.0,R
LA,Louisiana,8,6,39.63,57.34,3.03,3.9,96.1,0.0,R
MA,Massachusetts,11,1,65.99,30.86,3.15,100.0,0.0,0.0,R
MD,Maryland,10,1,60.97,35.92,3.11,99.6,0.4,0.0,R
ME,Maine,2,1,54.4,42.31,3.29,87.7,12.3,0.0,R
ME_1,Maine 1st,1,2,53.5,43.67,2.83,84.1,15.9,0.0,R
ME_2,Maine 2nd,1,4,48.31,48.56,3.12,47.5,52.5,0.0,R
MI,Michigan,16,4,48.02,48.84,3.14,44.0,56.0,0.0,R
MN,Minnesota,10,3,50.92,45.99,3.09,68.7,31.3,0.0,R
MO,Missouri,10,5,43.69,53.13,3.18,14.3,85.7,0.0,R
MS,Mississippi,6,6,40.44,56.34,3.23,3.8,96.2,0.0,R
MT,Montana,3,6,42.26,54.61,3.13,9.0,91.0,0.0,R
NC,North Carolina,15,4,46.98,50.02,3.0,34.6,65.4,0.0,R
ND,North Dakota,3,6,39.65,57.22,3.13,4.6,95.4,0.0,R
NE,Nebraska,2,6,33.04,63.69,3.27,0.0,100.0,0.0,R
NE_1,Nebraska 1st,1,6,32.81,63.75,3.44,0.0,100.0,0.0,R
NE_2,Nebraska 2nd,1,4,47.64,49.29,3.07,42.6,57.4,0.0,R
NE_3,Nebraska 3rd,1,6,32.98,63.64,3.38,0.1,99.9,0.0,R
NH,New Hampshire,4,3,49.46,47.45,3.09,55.8,44.2,0.0,R
NJ,New Jersey,14,1,59.58,37.06,3.36,99.1,0.9,0.0,R
NM,New Mexico,5,1,55.8,41.07,3.14,92.7,7.3,0.0,R
NV,Nevada,6,3,50.5,46.17,3.33,65.1,34.9,0.0,R
NY,New York,29,1,62.85,34.11,3.04,99.8,0.2,0.0,R
OH,Ohio,18,4,46.23,50.81,2.96,28.5,71.5,0.0,R
OK,Oklahoma,7,6,36.66,60.22,3.12,0.9,99.1,0.0,R
OR,Oregon,7,1,59.71,37.1,3.19,99.2,0.8,0.0,R
PA,Pennsylvania,20,4,47.3,49.74,2.96,37.8,62.2,0.0,R
RI,Rhode Island,4,1,59.68,37.09,3.23,99.4,0.6,0.0,R
SC,South Carolina,9,5,44.05,52.82,3.13,18.3,81.7,0.0,R
SD,South Dakota,3,6,30.15,66.46,3.39,0.0,100.0,0.0,R
TN,Tennessee,11,6,40.83,55.94,3.23,5.6,94.4,0.0,R
TX,Texas,38,5,43.66,53.02,3.31,16.4,83.6,0.0,R
UT,Utah,6,6,40.02,56.78,3.2,4.1,95.9,0.0,R
VA,Virginia,13,1,54.91,41.95,3.13,91.2,8.8,0.0,R
VT,Vermont,3,1,60.05,36.78,3.18,99.0,1.0,0.0,R
WA,Washington,12,1,63.37,33.53,3.1,100.0,0.0,0.0,R
WI,Wisconsin,10,4,48.36,48.63,3.01,47.5,52.5,0.0,R
WV,West Virginia,5,6,30.94,66.07,2.98,0.0,100.0,0.0,R
WY,Wyoming,3,6,33.04,63.68,3.29,0.0,100.0,0.0,R
